index,lat,lon,ft_frozen,fw_fw_06_swe_-3,clusteringLabel
86707,9.7193,76.76949,0,0,0
86737,8.49807,-76.75948,0,2,0
86764,51.15185,-63.28337,26,0,1
86778,54.09781,-60.98092,35,0,1
86784,62.84573,-50.44033,52,0,3
86808,68.86334,35.39479,0,0,0
86814,68.0375,38.29016,54,0,3
86861,59.30843,55.60115,34,0,1
86877,56.14531,59.10263,33,0,1
86893,52.84607,62.01076,34,0,1
86907,49.86319,64.16947,23,0,1
86911,48.99584,64.73036,24,0,1
86955,39.05125,69.65866,31,0,1
86963,37.16644,70.36322,31,0,1
86969,35.73732,70.86159,0,0,0
86978,33.56837,71.56505,0,0,0
87022,22.49789,74.38901,0,0,0
87057,13.04971,76.09557,0,0,0
87111,46.47931,-65.88315,11,0,2
87142,54.39457,-60.30084,35,0,1
87175,68.40926,36.02737,57,0,3
87185,66.98361,40.60129,60,0,3
87188,66.21866,42.67847,52,0,3
87277,49.10953,64.30081,24,0,1
87298,44.46998,66.9544,0,0,0
87299,44.24483,67.0679,0,0,0
87304,43.11346,67.61986,0,0,0
87315,40.59183,68.74949,20,0,1
87324,38.49551,69.59577,27,0,1
87328,37.55421,69.95151,31,0,1
87359,30.05411,72.34987,0,0,0
87363,29.05893,72.61945,0,0,0
87367,28.05718,72.88116,0,0,0
87388,22.68522,74.13841,0,0,0
87427,12.13906,76.05076,0,0,0
87451,4.2365,-76.96814,0,0,0
87463,7.77949,-76.50426,0,0,0
87476,46.82107,-65.35322,12,0,2
87487,51.1469,-62.52557,23,0,1
87521,69.59236,29.98164,0,0,0
87557,64.10392,46.7788,42,0,3
87559,63.7648,47.45904,40,0,3
87560,63.59377,47.7927,39,0,3
87563,63.07498,48.76853,36,0,1
87568,62.19222,50.31454,35,0,1
87584,59.23292,54.65989,34,0,1
87592,57.68651,56.53462,34,5,1
87631,49.65175,63.58111,19,0,2
87651,45.26906,66.21797,0,0,0
87654,44.59814,66.5713,0,0,0
87664,42.33712,67.68055,0,0,0
87673,40.27023,68.59681,20,0,1
87705,32.67612,71.34211,0,0,0
87729,26.71861,72.99205,0,0,0
87732,25.95704,73.17859,0,0,0
87777,14.02222,75.56402,0,0,0
87781,12.90953,75.7444,0,0,0
87787,11.22248,76.00683,0,0,0
87793,0.82146,-77.20997,0,0,0
87806,4.76454,-76.73089,0,0,0
87867,70.03835,26.27421,56,0,3
87879,68.67962,32.84505,49,0,3
87885,67.90271,35.81116,55,0,3
87909,63.94495,46.41442,42,0,3
87918,62.39731,49.34746,36,0,1
88003,45.17022,65.94747,0,0,0
88010,43.60203,66.76384,0,0,0
88019,41.55839,67.73942,0,0,0
88026,39.94784,68.44598,14,0,2
88056,32.83643,71.04352,0,0,0
88057,32.59344,71.11976,0,0,0
88062,31.37259,71.49225,0,0,0
88082,26.38743,72.8501,0,0,0
88090,24.34562,73.34058,0,0,0
88108,19.64371,74.35022,0,0,0
88110,19.11155,74.45508,0,0,0
88128,14.22709,75.34051,0,0,0
88135,12.27836,75.65876,0,0,0
88167,8.21837,-76.08903,0,0,0
88173,44.17801,-66.1551,7,6,2
88204,62.2455,-48.99091,0,13,0
88224,68.23637,33.52447,49,0,3
88245,64.92537,43.5312,43,0,3
88283,58.19785,54.94057,33,0,1
88298,55.25134,58.19467,33,0,1
88324,49.86319,62.70043,25,0,1
88331,48.3598,63.71859,12,0,2
88350,44.17801,66.1551,0,0,0
88355,43.05396,66.72709,0,0,0
88378,37.76092,69.0544,16,0,2
88417,28.32134,72.1213,0,0,0
88471,14.15436,75.16309,0,0,0
88482,0.37042,-76.93346,0,0,0
88496,4.62215,-76.40727,0,0,0
88527,50.81091,-61.63095,22,0,1
88548,68.41408,-31.68636,0,0,0
88562,68.99409,29.0546,39,0,3
88578,66.98701,36.9829,52,0,3
88588,65.07122,42.4142,46,0,3
88590,64.75741,43.17591,43,0,3
88598,63.45748,46.04162,37,0,1
88601,62.95281,47.04541,36,0,1
88612,61.03092,50.42523,33,0,1
88665,50.60014,61.78983,31,0,1
88739,33.87442,70.20112,0,0,0
88743,32.90983,70.52071,0,0,0
88769,26.48203,72.3777,0,0,0
88779,23.93303,73.00368,0,0,0
88787,21.86094,73.4742,0,0,0
88791,20.81348,73.70009,0,0,0
88792,20.5504,73.75562,0,0,0
88796,19.4931,73.97413,0,0,0
88824,0.29813,-76.77778,0,0,0
88869,45.9697,-64.5108,10,0,2
88881,51.74102,-60.51109,29,0,1
88907,69.32065,26.00334,48,0,3
88912,68.68207,29.29136,41,0,3
88922,67.47053,34.33021,0,0,0
88923,67.3401,34.80401,49,0,3
88927,66.80281,36.64565,0,0,0
88951,62.79428,46.69465,37,0,1
88968,59.79588,51.74558,34,0,1
89008,51.94848,60.34089,34,0,1
89028,47.71249,63.43495,1,0,0
89060,40.35863,67.40078,6,0,2
89118,26.40129,72.17383,0,0,0
89126,24.36704,72.68319,0,0,0
89149,18.35153,74.0017,0,0,0
89174,0.84231,-76.54799,0,0,0
89202,9.15106,-75.41569,0,0,0
89207,10.57575,-75.19358,0,1,0
89278,66.75332,35.86285,51,0,3
89310,61.08591,49.15385,33,0,1
89317,59.83292,51.13725,33,0,1
89327,57.97806,53.70222,34,0,1
89345,54.47386,57.64215,34,0,1
89372,48.89051,62.28631,9,0,2
89443,32.73673,70.07718,0,0,0
89451,30.79211,70.69919,0,0,0
89466,27.07465,71.76992,0,0,0
89491,20.65795,73.31973,0,0,0
89494,19.86801,73.48867,0,0,0
89540,6.17638,-75.67727,0,0,0
89600,69.46177,22.03622,62,0,3
89607,68.80807,26.01678,42,0,3
89625,66.69945,35.08347,36,0,1
89634,64.09173,42.51045,38,0,3
89695,52.93796,58.6713,33,0,1
89715,48.778,62.00285,6,0,2
89753,40.39414,66.8014,1,0,0
89754,40.16569,66.9068,2,0,0
89777,34.80358,69.10223,0,0,0
89829,21.88483,72.83808,0,1,0
89889,9.57175,-74.98987,0,0,0
89945,68.07903,28.42121,42,0,3
89984,60.42865,49.06336,33,0,1
90008,55.98325,55.13425,33,0,1
90015,54.61453,56.61852,31,0,1
90042,49.08785,61.41528,19,0,2
90043,48.87635,61.56883,18,0,2
90051,47.16827,62.74467,0,0,0
90061,44.99436,64.09349,0,0,0
90066,43.89178,64.72227,0,0,0
90093,37.5324,67.77243,0,0,0
90111,33.28091,69.38841,0,0,0
90134,27.6574,71.15187,0,0,0
90145,24.88806,71.89624,0,0,0
90198,4.25073,-75.60215,0,0,0
90201,5.14112,-75.47752,0,0,0
90245,52.68849,-58.06931,27,0,1
